PlayerName,Team,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,CamelCaseName,,
Joe Burrow, Cincinnati Bengals,3028,7.4,408,274,67.2,27,4,106.9,155,38,33,10,70,26,138,joeBurrow,,
Lamar Jackson, Baltimore Ravens,2876,9,321,215,67,25,3,117.3,137,42.7,38,9,84,15,96,lamarJackson,,
Kirk Cousins, Minnesota Vikings,2807,7.8,360,245,68.1,17,9,96.6,129,35.8,34,5,52,23,165,kirkCousins,,
Geno Smith, Seattle Seahawks,2781,7.4,374,258,69,11,11,88.1,137,36.6,30,3,71,32,207,genoSmith,,
Brock Purdy, San Francisco 49ers,2613,8.5,306,202,66,13,8,95.9,121,39.5,36,9,76,20,95,brockPurdy,,
Matthew Stafford, Los Angeles Rams,2557,7.3,349,232,66.5,13,7,92.1,118,33.8,32,4,69,21,151,matthewStafford,,
Josh Allen, Buffalo Bills,2543,7.5,339,217,64,18,5,98.2,117,34.5,38,7,63,13,61,joshAllen,,
Baker Mayfield, Tampa Bay Buccaneers,2505,7.3,344,243,70.6,24,9,103.6,131,38.1,27,2,55,24,143,bakerMayfield,,
Jared Goff, Detroit Lions,2492,9.2,270,197,73,20,9,112.2,119,44.1,39,8,70,18,147,jaredGoff,,
Aaron Rodgers, New York Jets,2442,6.4,380,241,63.4,17,7,89,121,31.8,34,2,57,26,199,aaronRodgers,,
Patrick Mahomes, Kansas City Chiefs,2404,7,344,239,69.5,15,11,90.3,133,38.7,26,3,54,22,139,patrickMahomes,,
Sam Darnold, San Francisco 49ers,2387,8.2,293,199,67.9,19,10,100,114,38.9,37,5,97,28,186,samDarnold,,
C.J. Stroud, Houston Texans,2371,7.2,329,207,62.9,12,6,89.1,120,36.5,27,4,67,34,269,cJStroud,,
Jayden Daniels, Washington Commanders,2338,8,294,202,68.7,10,3,99.6,109,37.1,33,7,66,23,131,jaydenDaniels,,
Bo Nix,Denver Broncos,2275,6.4,357,234,65.6,14,6,89.3,102,28.6,35,2,49,18,147,boNix,,
Jalen Hurts, Philadelphia Eagles,2197,8.4,263,182,69.2,12,5,101.8,99,37.6,33,10,67,28,208,jalenHurts,,
Justin Herbert, Los Angeles Chargers,2186,7.9,277,176,63.5,13,1,102,97,35,35,4,66,23,132,justinHerbert,,
Jordan Love, Green Bay Packers,2081,8.1,257,160,62.3,16,11,90.6,91,35.4,30,9,70,8,63,jordanLove,,
Joe Flacco, Indianapolis Colts,1167,6.9,170,113,66.5,9,5,91.5,60,35.3,15,2,65,13,101,joeFlacco,,
Deshaun Watson, Cleveland Browns,1148,5.3,216,137,63.4,5,3,79,49,22.7,11,0,35,33,191,deshaunWatson,,
Justin Fields, Chicago Bears,1106,6.9,160,106,66.2,5,1,93.9,45,28.1,15,2,55,16,124,justinFields,,
Jameis Winston, New Orleans Saints,1047,7.2,145,89,61.4,7,3,90.8,52,35.9,12,1,89,12,55,jameisWinston,,
Andy Dalton, Carolina Panthers,989,6.2,160,106,66.2,7,6,82,50,31.2,13,0,39,7,37,andyDalton,,
Russell Wilson, Denver Broncos,942,7.8,121,73,60.3,6,2,94.4,42,34.7,16,2,44,12,70,russellWilson,,
Jacoby Brissett, New England Patriots,828,5.2,159,94,59.1,2,1,74.6,41,25.8,7,1,50,18,119,jacobBrissett,,
Bryce Young, Carolina Panthers,820,5.4,153,92,60.1,4,6,66.9,38,24.8,11,1,46,11,65,bryceYoung,,
Mason Rudolph, Pittsburgh Steelers,806,6.3,128,76,59.4,4,4,75.2,43,33.6,10,1,47,6,38,masonRudolph,,
Spencer Rattler, New Orleans Saints,571,5.8,99,59,59.6,1,2,70.7,23,23.2,7,1,41,14,73,spencerRattler,,
Marcus Mariota, Washington Commanders,203,7.8,26,19,73.1,2,0,121.2,12,46.2,2,0,25,1,4,marcusMariota,,
Daniel Jones,New York Giants,2070,6.1,341,216,63.3,8,7,79.4,106,31.1,19,2,43,29,172,danielJones,,
